index,criterion,min_samples_leaf,min_samples_split,n_estimators,loss
73,gini,3,0.14608729770985376,35,0.8139423868312757
74,gini,5,0.08156749834837446,101,0.6739423868312757
75,gini,7,0.1835773453703742,92,0.7824526748971193
76,gini,8,0.02466654217865577,122,0.5365925925925925
77,gini,6,0.20466027501860318,80,0.8055637860082305
78,gini,3,0.17743262316375552,148,0.7705843621399177
79,gini,10,0.059066812559237236,113,0.6407242798353909
80,gini,14,0.13045546405673747,140,0.7135802469135802
81,gini,12,0.26726881693604365,160,0.8175473251028806
82,gini,1,0.08786105462296266,121,0.6792098765432099
83,gini,16,0.0033235781316393043,155,0.3567078189300411
84,gini,17,0.15797267609771318,163,0.7404279835390947
85,gini,13,0.049719855737552936,135,0.6118024691358025
86,gini,1,0.11964833547137087,105,0.725843621399177
87,gini,2,0.4749755330637996,17,0.9766913580246913
88,gini,2,0.42328107261167275,143,0.8841975308641975
89,gini,1,0.07669643034219942,110,0.6680329218106995
90,gini,3,0.34252830999584116,130,0.853201646090535
91,gini,4,0.00865883971515978,153,0.43236213991769545
92,gini,5,0.10175376412028991,172,0.6851851851851851
93,gini,3,0.13334740868640665,57,0.7629300411522634
94,entropy,5,0.211654697386846,46,0.868477366255144
95,gini,1,0.10227065458849158,59,0.7343868312757202
96,gini,2,0.30302081301715234,50,0.8712263374485597
97,gini,14,0.0531512177002328,90,0.6376296296296295
98,entropy,16,0.3887769829867154,70,0.9277366255144033
99,gini,15,0.17278090869431773,88,0.7721316872427983
100,gini,13,0.06857680331224035,32,0.735127572016461
101,gini,20,0.03506649767036636,50,0.6199012345679012
102,entropy,18,0.2997948514877633,101,0.8762139917695473
103,gini,19,0.21916760565585786,187,0.7765761316872428
104,gini,17,0.5855642521018347,195,0.91040329218107
105,gini,16,0.7719581227701255,41,0.9998024691358025
106,entropy,15,0.3496882938259998,175,0.8828312757201646
107,gini,18,0.0017174528692669028,95,0.3239506172839506
108,gini,13,0.659700625512386,77,0.9998024691358025
109,gini,14,0.14244868315753645,126,0.734238683127572
110,gini,12,0.08563955983976464,102,0.6864691358024692
111,gini,9,0.1605159524755843,117,0.7555555555555555
112,entropy,11,0.4368659234470238,83,0.9305679012345679
113,gini,14,0.02365337526688332,116,0.5346502057613169
114,gini,11,0.8918205102954699,183,0.9998024691358025
115,gini,16,0.032539658857703345,146,0.5544855967078189
116,gini,15,0.2601738985158026,83,0.8310123456790124
117,entropy,12,0.23252247931963793,97,0.8525102880658436
118,gini,17,0.5123216600842508,109,0.9213168724279835
119,gini,10,0.186389348425282,71,0.7996543209876543
120,gini,13,0.4715763726256262,66,0.9271440329218107
121,gini,19,0.3218177435077417,87,0.8468641975308642
122,gini,8,0.0642653430233663,74,0.6657777777777778
123,gini,10,0.0498080724005252,111,0.618567901234568
124,entropy,9,0.11309784836252648,125,0.7766748971193416
125,gini,7,0.27817047432087577,105,0.8343374485596708
126,gini,4,0.034210896530913686,36,0.6519341563786007
127,gini,7,0.842845078434254,21,0.9998024691358025
128,gini,20,0.001570667708791433,28,0.3986666666666666
129,entropy,17,0.1269179567697301,46,0.8020411522633745
130,gini,18,0.7037989860379821,51,0.9998024691358025
131,gini,20,0.0459804099962282,53,0.6417448559670782
132,gini,14,0.7532927626532144,92,0.9998024691358025
133,gini,20,0.36415407803980926,62,0.8731522633744856
134,entropy,18,0.1971616739510325,90,0.8406090534979423
135,gini,8,0.16084262629106966,78,0.7760658436213992
136,gini,11,0.3944518267605954,12,0.9712921810699588
137,gini,19,0.020594155956820806,38,0.5915061728395061
138,gini,14,0.09520524787538698,65,0.7248230452674898
139,entropy,16,0.22988314407757898,43,0.8739423868312757
140,gini,6,0.13836714385305748,135,0.7293168724279835
141,gini,12,0.6054372511315252,133,0.9177448559670782
142,gini,15,0.07808879442071039,168,0.6502716049382716
143,entropy,13,0.3076310879324891,195,0.8523950617283951
144,gini,15,0.002000212603775406,164,0.31507818930041154
145,gini,19,0.043787615922443436,16,0.7532839506172839
146,gini,20,0.017539095433510808,138,0.49878189300411524
147,gini,8,0.09527907905768368,122,0.6896460905349795
148,gini,2,0.1161745687736387,157,0.7043621399176955
149,gini,9,0.17028245342431803,152,0.7627489711934157
150,gini,5,0.05875239624668156,121,0.6324773662551441
151,gini,4,0.19748474657464105,199,0.7634897119341564
152,gini,7,0.07150612903292489,141,0.6514238683127572
153,gini,3,0.000448764582108737,176,0.22037860082304528
154,gini,20,0.020408655126614897,26,0.618074074074074
155,gini,19,0.2514761937340999,191,0.7958847736625514
156,gini,4,0.15011984991892208,181,0.7308971193415638
157,gini,17,0.11824483956730891,33,0.7899588477366255
158,gini,2,0.039378834429256666,161,0.5690205761316872
159,gini,18,0.2682789767870247,129,0.8179588477366255
160,gini,6,0.2094032881043014,30,0.8603786008230453
161,gini,3,0.07426751466209383,26,0.753679012345679
162,gini,18,0.02892865865462469,117,0.5506337448559671
163,gini,17,0.1804512532495734,147,0.7659588477366255
164,entropy,10,0.10312471533827515,113,0.7745185185185185
165,gini,14,0.00029989546522288246,173,0.20874074074074067
166,gini,11,0.12907680360252824,116,0.7232098765432099
167,gini,19,0.22725881015440677,143,0.7893168724279835
168,gini,16,0.014645355958543771,124,0.4887736625514403
169,gini,9,0.08767140379180871,104,0.6860082304526749
170,entropy,13,0.9373538168179856,130,0.9998024691358025
171,gini,12,0.5570210883523629,154,0.9198518518518518
172,gini,8,0.06059345489372719,99,0.6437201646090536
173,gini,10,0.15352057936485292,96,0.7504526748971193
174,gini,12,0.9715596104905956,165,0.9998024691358025
175,entropy,11,0.28877879372728643,192,0.8432263374485597
176,gini,14,0.13692446795138835,20,0.8394732510288065
177,gini,16,0.003456701230165584,199,0.35339917695473255
178,gini,15,0.7826736314871252,57,0.9998024691358025
179,gini,18,0.10082063611352593,72,0.7242633744855966
180,gini,17,0.02285344934881492,62,0.5611851851851852
181,entropy,16,0.0035483189190183414,179,0.45944032921810696
182,gini,20,0.052062654861158436,189,0.5992757201646091
183,gini,18,0.1786406473741731,158,0.7633415637860083
184,gini,15,0.07685189017967536,169,0.6488559670781893
185,gini,14,0.42763330177586767,197,0.8797695473251028
186,entropy,17,0.3440868883539251,184,0.8740740740740741
187,gini,20,0.24326104507058038,150,0.7996543209876543
188,gini,19,0.45806616030127856,174,0.8827489711934157
189,gini,15,0.5014589417536558,177,0.9069465020576132
190,gini,19,0.6440775474385151,138,0.9998024691358025
191,gini,18,0.6754318518979662,160,0.9998024691358025
192,gini,20,0.21413473023257826,147,0.7841810699588477
193,gini,19,0.150912327546728281,161,0.849084322689239024
194,entropy,16,0.16464320122148257,155,0.8049382716049382
195,gini,17,0.12030157047772963,168,0.702880658436214
196,gini,16,0.7221349976177953,144,0.9998024691358025
197,gini,17,0.3246161182520816,135,0.8407736625514404
198,gini,18,0.005225008607979103,161,0.39283950617283947
199,gini,19,0.05784603291027281,151,0.6189629629629629
